flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S
2109240248,176,False,2021-09-24T02:48:28.161,236.8666666666667,3356,B2.0,2.0043135862124473e-07,B3,B5,B4,,,,,,2021-09-24T02:47:16.161,2021-09-24T02:50:12.162,543,247.0,135,49.0,91,67.0,863,799.0,495,431.0
2109240235,212,False,2021-09-24T02:35:28.160,236.8666666666667,3355,B1.9,1.876347539564449e-07,B2,B3,B3,,,,,,2021-09-24T02:34:12.160,2021-09-24T02:37:44.160,367,247.0,91,49.0,91,67.0,863,799.0,495,431.0
2109240137,80,False,2021-09-24T01:37:24.154,242.8065039970336,3354,B1.6,1.6211109254982148e-07,B2,B2,B2,,,,,,2021-09-24T01:36:36.154,2021-09-24T01:37:56.154,303,271.0,61,49.0,83,67.0,863,799.0,463,431.0
2109232211,152,False,2021-09-23T22:11:56.133,242.8065039970336,3353,B1.6,1.6076683095889166e-07,B2,B3,B2,,,,,,2021-09-23T22:11:00.133,2021-09-23T22:13:32.133,335,271.0,67,49.0,99,67.0,863,799.0,463,431.0
2109232055,272,False,2021-09-23T20:55:28.125,242.8065039970336,3352,B3.1,3.1172118042377406e-07,B2,B4,B3,,,,,,2021-09-23T20:54:04.125,2021-09-23T20:58:36.125,495,271.0,75,49.0,83,67.0,927,799.0,495,431.0
2109232037,988,False,2021-09-23T20:37:20.123,242.8065039970336,3351,C1.1,1.0637852483341703e-06,B8,C2,C1,,,,,,2021-09-23T20:32:40.122,2021-09-23T20:49:08.124,4863,271.0,799,49.0,367,67.0,927,799.0,495,431.0
2109232024,200,False,2021-09-23T20:24:28.122,242.8065039970336,3350,B1.8,1.8487467912109423e-07,B2,B3,B2,,,,,,2021-09-23T20:22:08.121,2021-09-23T20:25:28.122,335,271.0,67,49.0,91,67.0,863,799.0,463,431.0
2109231950,188,False,2021-09-23T19:50:20.118,242.8065039970336,3349,B1.8,1.769996060829726e-07,B2,B3,B2,,,,,,2021-09-23T19:49:12.118,2021-09-23T19:52:20.119,335,271.0,67,49.0,83,67.0,863,799.0,495,431.0
2109231920,372,False,2021-09-23T19:20:36.115,242.8065039970336,3348,B3.2,3.158384629387001e-07,B4,B7,B5,,,,,,2021-09-23T19:17:12.115,2021-09-23T19:23:24.115,991,271.0,107,49.0,91,67.0,927,799.0,495,431.0
2109231731,172,False,2021-09-23T17:31:16.204,233.6666666666667,3347,B2.3,2.3420317063482798e-07,B2,B3,B2,,,,,,2021-09-23T17:30:20.204,2021-09-23T17:33:12.204,335,271.0,67,49.0,83,67.0,863,799.0,543,431.0
